"","k__Bacteria","p__Actinobacteria","p__Bacteroidetes","p__Cyanobacteria","p__Firmicutes","p__Fusobacteria","p__OD1","p__Proteobacteria","p__Spirochaetes","p__SR1","p__TM7","c__Actinobacteria","c__Alphaproteobacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Chloroplast","c__Clostridia","c__Coriobacteriia","c__Cytophagia","c__Deltaproteobacteria","c__Epsilonproteobacteria","c__Erysipelotrichi","c__Flavobacteriia","c__Fusobacteriia","c__Gammaproteobacteria","c__Sphingobacteriia","c__Spirochaetes","c__TM7-3","o__Actinomycetales","o__Aeromonadales","o__Bacillales","o__Bacteroidales","o__Burkholderiales","o__Campylobacterales","o__Clostridiales","o__Coriobacteriales","o__CW040","o__Cytophagales","o__Enterobacteriales","o__Erysipelotrichales","o__Flavobacteriales","o__Fusobacteriales","o__Gemellales","o__Lactobacillales","o__Neisseriales","o__Pasteurellales","o__Pseudomonadales","o__Rhizobiales","o__Rhodobacterales","o__Rhodocyclales","o__Sphingobacteriales","o__Sphingomonadales","o__Spirochaetales","o__Streptophyta","o__Xanthomonadales","f__[Mogibacteriaceae]","f__[Paraprevotellaceae]","f__[Tissierellaceae]","f__[Weeksellaceae]","f__ACK-M1","f__Actinomycetaceae","f__Aerococcaceae","f__Aeromonadaceae","f__Alcaligenaceae","f__Bacteroidaceae","f__Burkholderiaceae","f__Campylobacteraceae","f__Carnobacteriaceae","f__Clostridiaceae","f__Comamonadaceae","f__Coriobacteriaceae","f__Corynebacteriaceae","f__Cryomorphaceae","f__Cytophagaceae","f__Enterobacteriaceae","f__Enterococcaceae","f__Erysipelotrichaceae","f__F16","f__Flavobacteriaceae","f__Fusobacteriaceae","f__Gemellaceae","f__Lachnospiraceae","f__Lactobacillaceae","f__Leptotrichiaceae","f__Leuconostocaceae","f__Microbacteriaceae","f__Micrococcaceae","f__Moraxellaceae","f__Neisseriaceae","f__Oxalobacteraceae","f__Pasteurellaceae","f__Peptostreptococcaceae","f__Porphyromonadaceae","f__Prevotellaceae","f__Propionibacteriaceae","f__Pseudomonadaceae","f__Rhizobiaceae","f__Rhodobacteraceae","f__Rhodocyclaceae","f__Rikenellaceae","f__Ruminococcaceae","f__Sphingomonadaceae","f__Spirochaetaceae","f__Streptococcaceae","f__Veillonellaceae","f__Xanthomonadaceae","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__Acinetobacter","g__Actinomyces","g__Agrobacterium","g__Anaerococcus","g__Arcobacter","g__Atopobium","g__Bacteroides","g__Blautia","g__Bulleidia","g__Campylobacter","g__Capnocytophaga","g__Catonella","g__Chryseobacterium","g__Clostridium","g__Comamonas","g__Coprococcus","g__Corynebacterium","g__Dialister","g__Enhydrobacter","g__Enterococcus","g__Faecalibacterium","g__Flavobacterium","g__Fluviicola","g__Fusobacterium","g__Granulicatella","g__Haemophilus","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leuconostoc","g__Megasphaera","g__Microvirgula","g__Mogibacterium","g__Moryella","g__Neisseria","g__Oribacterium","g__Oscillospira","g__Parabacteroides","g__Parvimonas","g__Peptoniphilus","g__Peptostreptococcus","g__Porphyromonas","g__Prevotella","g__Propionibacterium","g__Pseudomonas","g__Rothia","g__Salinispora","g__Selenomonas","g__Streptococcus","g__Sulfurospirillum","g__Sutterella","g__Tannerella","g__Treponema","g__Veillonella","g__Vitreoscilla","g__Weissella","g__Zoogloea","s__acnes","s__aerodenitrificans","s__cibaria","s__confusa","s__copri","s__dentocariosa","s__dispar","s__endodontalis","s__fallax","s__johnsonii","s__luteciae","s__melaninogenica","s__moorei","s__mucilaginosa","s__nanceiensis","s__nigrescens","s__parainfluenzae","s__parvula","s__prausnitzii","s__rhizosphaerae","s__subflava","s__tannerae","s__uniformis","s__zeae","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Actinobacillus","g__Aggregatibacter","g__Butyrivibrio","g__Eikenella","g__Mycoplasma","f__Peptococcaceae","f__Bacillaceae","g__Finegoldia","s__dolichum","s__gnavus","g__Filifactor","s__socranskii","p__GN02","c__GKS2-174","o__MIZ46","s__fragilis","smokingstatus","bodysite"
"ESC.1.38.NPR",767,13,41,1,640,0,0,70,0,0,1,13,2,617,3,18,1,23,0,8,1,0,0,30,0,49,0,0,1,13,2,0,3,9,0,23,0,0,8,20,0,30,0,0,617,5,0,27,1,0,1,0,0,0,1,0,0,1,0,5,1,3,0,2,0,0,2,0,0,1,6,0,1,3,8,20,1,0,0,22,0,0,1,3,0,383,3,0,23,5,0,0,0,0,2,2,1,1,0,1,0,0,0,0,229,21,0,0,1,0,20,3,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,2,0,0,21,3,0,0,0,0,3,183,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,46,0,0,0,0,21,3,0,1,2,0,0,0,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"NonSmoker","NPR"
"ESC.1.59.NPR",886,21,80,1,725,1,0,58,0,0,0,21,1,595,61,21,1,122,0,1,2,4,8,17,1,30,1,0,0,21,1,5,61,12,4,122,0,0,1,8,8,17,1,1,589,3,13,7,1,0,3,1,0,0,1,0,1,0,12,10,2,2,2,1,1,43,1,4,0,2,8,0,9,3,1,8,2,8,0,4,0,1,49,29,1,361,2,1,6,3,1,13,0,3,14,3,0,0,0,3,0,34,0,0,195,12,0,6,0,0,6,2,0,1,0,0,43,8,0,4,0,0,10,0,2,9,9,0,0,0,0,4,3,0,0,13,1,29,159,0,1,337,0,0,0,0,1,1,2,2,0,5,0,1,14,3,0,0,1,0,36,0,0,0,0,12,2,1,1,2,0,1,0,0,0,1,0,2,0,1,3,0,0,0,0,13,0,0,5,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,1,9,"Smoker","NPR"
"ESC.1.36.NPR",1744,14,75,7,1461,0,1,183,0,0,1,14,1,1428,6,46,7,33,0,3,1,2,0,65,0,133,0,0,1,14,6,0,6,28,2,33,0,0,3,39,0,65,0,0,1428,6,0,85,0,1,1,0,0,0,7,3,0,0,0,48,0,2,0,6,0,3,3,2,0,0,19,0,2,1,3,39,5,0,0,16,0,0,0,7,0,821,2,2,65,6,2,0,0,0,2,3,2,0,1,1,0,0,0,0,592,33,3,0,0,0,55,1,0,0,1,0,3,0,0,0,0,0,48,0,7,0,2,0,9,1,0,16,1,0,0,0,0,7,483,0,0,786,0,3,0,0,0,0,0,0,0,0,0,0,2,3,1,0,3,0,102,0,0,0,0,33,1,1,1,1,3,1,0,0,0,2,0,2,2,10,0,0,0,0,0,0,1,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.4.NPR",477,28,17,0,361,0,0,71,0,0,0,28,4,345,4,10,0,16,0,0,1,1,0,13,0,55,0,0,0,28,1,9,4,6,1,16,0,0,0,27,0,13,0,0,336,4,1,26,2,1,0,0,0,0,0,0,0,0,10,13,0,1,0,1,0,0,0,1,0,0,5,0,11,0,0,27,8,0,0,0,0,0,0,3,0,208,0,0,22,4,0,1,0,1,3,16,0,2,1,0,0,0,0,0,117,6,0,0,0,0,19,0,2,3,1,0,0,0,0,0,0,0,13,0,0,0,11,3,2,1,0,0,0,0,0,1,0,3,82,0,0,101,0,0,0,0,0,0,0,1,0,2,0,0,3,16,0,0,0,0,35,0,0,0,0,3,1,2,0,14,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.18.NPR",735,25,35,5,555,0,0,112,0,0,2,25,14,529,12,36,4,26,0,0,1,3,0,23,0,58,0,0,2,25,0,10,12,18,3,26,0,0,0,21,0,23,0,1,518,8,0,36,5,3,1,0,1,0,4,0,0,0,0,23,0,0,0,0,2,9,1,3,0,1,12,0,20,0,0,21,19,0,0,0,0,1,3,3,0,314,0,1,27,8,0,0,0,0,2,3,1,5,3,1,1,4,1,0,181,18,0,0,0,1,25,0,5,0,2,0,9,0,0,0,0,0,23,0,1,1,20,0,2,1,2,0,0,0,0,0,0,3,160,1,0,112,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,20,1,2,0,0,18,5,7,0,3,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,"NonSmoker","NPR"
"ESC.1.16.NPR",241,3,11,2,192,0,0,32,0,0,1,3,6,180,8,5,2,10,0,0,0,2,2,3,0,19,0,0,1,3,0,3,8,4,2,10,0,0,0,6,2,3,0,0,177,1,0,13,1,2,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,7,0,2,0,0,2,0,0,0,0,6,4,2,0,0,0,0,2,1,0,105,0,0,9,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,67,6,0,0,0,0,7,1,1,0,2,0,7,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,57,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.22.NPR",969,38,28,0,780,0,0,121,0,0,0,38,8,751,2,33,0,29,0,0,2,7,0,26,0,71,0,0,0,38,1,4,2,22,7,29,0,0,0,29,0,26,0,0,747,6,0,41,2,5,1,0,1,0,0,0,0,0,3,22,0,3,0,1,0,1,0,7,0,1,20,0,8,0,0,29,19,0,0,4,0,0,0,2,0,513,1,0,33,6,1,0,0,0,1,25,0,1,5,1,0,1,1,0,211,23,0,0,0,0,32,2,1,0,6,0,1,0,0,0,0,0,22,0,2,0,8,2,1,1,0,4,0,0,0,0,0,2,189,0,0,254,0,0,0,0,0,0,0,0,0,3,0,0,1,21,0,0,0,0,22,1,0,0,0,21,2,9,1,21,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Smoker","NPR"
"ESC.1.62.NPR",763,32,22,7,645,1,0,56,0,0,0,32,1,605,13,30,7,40,0,1,0,1,0,8,1,24,0,0,0,32,0,7,13,12,1,40,0,0,1,6,0,8,1,1,597,14,4,13,0,0,1,0,1,0,6,1,0,0,11,0,1,0,28,0,1,9,7,1,0,0,3,0,26,1,1,6,1,0,0,7,0,1,12,22,1,387,0,2,11,14,1,4,0,0,3,3,0,0,0,1,1,5,1,0,159,5,1,0,0,2,9,0,0,2,0,0,9,2,0,1,1,0,0,0,1,2,26,0,2,0,0,6,1,0,0,4,0,22,123,1,1,375,0,2,0,0,10,0,1,0,0,6,0,0,3,2,0,1,6,0,36,0,0,0,0,5,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,4,10,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,3,"Smoker","NPR"
"ESC.1.32.NPR",1277,12,44,5,1087,0,0,127,0,0,0,12,4,1066,6,31,4,21,0,7,0,2,0,31,0,90,0,0,0,12,2,1,6,13,2,21,0,0,7,46,0,31,0,0,1065,2,0,42,1,2,7,0,0,0,4,0,0,1,0,21,3,3,0,2,1,5,0,2,0,1,9,0,2,1,6,46,6,0,0,9,0,0,4,6,0,611,3,0,30,2,0,0,0,0,0,0,2,1,2,7,0,0,0,0,442,16,0,0,1,0,27,3,1,0,2,0,5,1,0,0,0,0,20,1,1,0,2,0,3,0,0,9,1,0,0,0,0,6,353,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,87,0,0,0,0,16,2,0,3,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.20.NPR",845,68,19,1,677,0,0,77,0,0,2,68,5,662,2,28,1,15,0,0,0,5,0,17,0,39,0,0,2,68,1,8,2,17,5,15,0,0,0,14,0,17,0,0,654,3,0,22,1,4,1,0,0,0,1,2,0,0,2,16,0,2,0,1,0,1,0,5,0,1,16,0,35,0,0,14,14,0,0,1,0,0,1,1,0,457,0,0,17,3,1,0,0,1,0,27,0,1,4,1,0,0,0,0,180,11,2,0,0,0,15,1,1,1,4,0,1,0,0,0,0,0,16,0,3,0,35,0,2,2,0,1,0,0,0,0,0,1,163,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,17,0,0,1,0,11,2,4,1,24,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Smoker","NPR"
