"","k__Bacteria","p__Actinobacteria","p__Bacteroidetes","p__Cyanobacteria","p__Firmicutes","p__Fusobacteria","p__OD1","p__Proteobacteria","p__Spirochaetes","p__SR1","p__TM7","c__Actinobacteria","c__Alphaproteobacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Chloroplast","c__Clostridia","c__Coriobacteriia","c__Cytophagia","c__Deltaproteobacteria","c__Epsilonproteobacteria","c__Erysipelotrichi","c__Flavobacteriia","c__Fusobacteriia","c__Gammaproteobacteria","c__Sphingobacteriia","c__Spirochaetes","c__TM7-3","o__Actinomycetales","o__Aeromonadales","o__Bacillales","o__Bacteroidales","o__Burkholderiales","o__Campylobacterales","o__Clostridiales","o__Coriobacteriales","o__CW040","o__Cytophagales","o__Enterobacteriales","o__Erysipelotrichales","o__Flavobacteriales","o__Fusobacteriales","o__Gemellales","o__Lactobacillales","o__Neisseriales","o__Pasteurellales","o__Pseudomonadales","o__Rhizobiales","o__Rhodobacterales","o__Rhodocyclales","o__Sphingobacteriales","o__Sphingomonadales","o__Spirochaetales","o__Streptophyta","o__Xanthomonadales","f__[Mogibacteriaceae]","f__[Paraprevotellaceae]","f__[Tissierellaceae]","f__[Weeksellaceae]","f__ACK-M1","f__Actinomycetaceae","f__Aerococcaceae","f__Aeromonadaceae","f__Alcaligenaceae","f__Bacteroidaceae","f__Burkholderiaceae","f__Campylobacteraceae","f__Carnobacteriaceae","f__Clostridiaceae","f__Comamonadaceae","f__Coriobacteriaceae","f__Corynebacteriaceae","f__Cryomorphaceae","f__Cytophagaceae","f__Enterobacteriaceae","f__Enterococcaceae","f__Erysipelotrichaceae","f__F16","f__Flavobacteriaceae","f__Fusobacteriaceae","f__Gemellaceae","f__Lachnospiraceae","f__Lactobacillaceae","f__Leptotrichiaceae","f__Leuconostocaceae","f__Microbacteriaceae","f__Micrococcaceae","f__Moraxellaceae","f__Neisseriaceae","f__Oxalobacteraceae","f__Pasteurellaceae","f__Peptostreptococcaceae","f__Porphyromonadaceae","f__Prevotellaceae","f__Propionibacteriaceae","f__Pseudomonadaceae","f__Rhizobiaceae","f__Rhodobacteraceae","f__Rhodocyclaceae","f__Rikenellaceae","f__Ruminococcaceae","f__Sphingomonadaceae","f__Spirochaetaceae","f__Streptococcaceae","f__Veillonellaceae","f__Xanthomonadaceae","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__Acinetobacter","g__Actinomyces","g__Agrobacterium","g__Anaerococcus","g__Arcobacter","g__Atopobium","g__Bacteroides","g__Blautia","g__Bulleidia","g__Campylobacter","g__Capnocytophaga","g__Catonella","g__Chryseobacterium","g__Clostridium","g__Comamonas","g__Coprococcus","g__Corynebacterium","g__Dialister","g__Enhydrobacter","g__Enterococcus","g__Faecalibacterium","g__Flavobacterium","g__Fluviicola","g__Fusobacterium","g__Granulicatella","g__Haemophilus","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leuconostoc","g__Megasphaera","g__Microvirgula","g__Mogibacterium","g__Moryella","g__Neisseria","g__Oribacterium","g__Oscillospira","g__Parabacteroides","g__Parvimonas","g__Peptoniphilus","g__Peptostreptococcus","g__Porphyromonas","g__Prevotella","g__Propionibacterium","g__Pseudomonas","g__Rothia","g__Salinispora","g__Selenomonas","g__Streptococcus","g__Sulfurospirillum","g__Sutterella","g__Tannerella","g__Treponema","g__Veillonella","g__Vitreoscilla","g__Weissella","g__Zoogloea","s__acnes","s__aerodenitrificans","s__cibaria","s__confusa","s__copri","s__dentocariosa","s__dispar","s__endodontalis","s__fallax","s__johnsonii","s__luteciae","s__melaninogenica","s__moorei","s__mucilaginosa","s__nanceiensis","s__nigrescens","s__parainfluenzae","s__parvula","s__prausnitzii","s__rhizosphaerae","s__subflava","s__tannerae","s__uniformis","s__zeae","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Actinobacillus","g__Aggregatibacter","g__Butyrivibrio","g__Eikenella","g__Mycoplasma","f__Peptococcaceae","f__Bacillaceae","g__Finegoldia","s__dolichum","s__gnavus","g__Filifactor","s__socranskii","p__GN02","c__GKS2-174","o__MIZ46","s__fragilis","smokingstatus","bodysite"
"ESC.1.48.NPR",1016,32,40,1,888,0,0,55,0,0,0,32,1,868,19,21,1,19,0,0,1,1,1,20,0,31,1,0,0,32,0,1,19,9,1,19,0,0,0,16,1,20,0,0,867,4,0,15,0,0,5,1,0,0,1,0,0,0,0,16,0,1,2,0,4,10,0,1,0,1,5,0,26,3,0,16,3,1,0,1,0,0,2,5,0,561,0,2,14,4,0,0,0,0,7,3,0,0,0,5,0,4,0,0,296,12,0,0,0,0,13,1,0,0,1,0,10,0,0,0,0,0,15,1,2,0,26,0,1,0,1,1,3,0,0,0,0,5,235,0,0,535,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0,2,0,0,60,0,4,0,0,12,3,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.29.NPR",736,132,32,2,463,0,0,104,0,0,0,132,7,450,7,23,1,13,0,3,1,5,0,22,0,68,0,0,0,132,0,5,7,13,5,13,0,0,3,27,0,22,0,0,445,2,0,41,3,2,2,0,1,0,1,0,0,0,0,16,0,2,0,0,1,5,0,5,0,0,12,0,121,1,3,27,1,0,0,5,0,0,0,5,0,190,0,1,31,2,0,0,0,0,2,8,0,2,2,2,0,0,1,0,249,13,0,0,0,0,31,2,2,0,5,0,5,0,0,0,0,0,16,0,3,0,121,0,0,1,0,5,1,0,0,0,0,5,202,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,46,0,0,0,0,13,1,0,2,7,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.28.NPR",1148,17,36,2,979,0,0,113,0,0,0,17,3,952,13,19,2,27,0,3,0,2,0,20,0,89,0,0,0,17,0,0,13,9,2,27,0,0,3,61,0,20,0,0,952,6,0,26,0,0,1,0,2,0,2,1,0,0,4,12,0,2,0,0,0,2,1,2,0,0,8,0,5,4,3,61,2,0,0,4,0,0,0,7,0,588,3,0,20,6,0,0,0,1,9,7,2,0,0,1,0,3,2,0,355,19,0,0,0,0,17,2,0,1,0,0,2,0,0,2,0,0,12,0,1,0,5,1,3,0,0,4,4,0,0,0,0,7,293,0,0,561,1,0,0,0,3,0,0,0,0,3,0,1,9,7,2,0,1,0,62,0,0,0,0,17,3,1,0,7,0,1,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.19.NPR",831,17,44,0,658,0,0,111,0,0,0,17,5,630,18,34,0,27,0,0,0,5,1,26,0,67,0,0,0,17,0,0,18,19,5,27,0,0,0,23,1,26,0,0,630,4,0,44,0,0,1,0,0,0,0,0,0,0,0,24,0,2,1,0,1,14,1,5,0,0,13,0,8,0,0,23,15,1,0,2,0,0,2,4,0,421,0,1,37,4,2,0,0,1,2,6,2,0,0,1,1,2,0,0,187,17,0,0,0,0,22,2,0,0,4,0,14,0,0,0,0,0,24,0,1,0,8,0,2,2,0,2,0,0,0,0,0,4,166,0,0,175,0,2,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,21,1,1,0,0,17,1,3,0,5,2,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NonSmoker","NPR"
"ESC.1.15.NPR",581,7,21,1,467,0,0,85,0,0,0,7,4,445,7,18,1,22,0,0,0,1,0,14,0,62,0,0,0,7,2,0,7,9,1,22,0,0,0,20,0,14,0,0,445,4,0,37,1,1,0,0,0,0,1,3,0,0,1,13,0,1,0,2,0,6,0,1,0,0,7,0,3,0,0,20,16,0,0,1,0,0,1,3,0,277,0,0,27,4,2,0,0,0,0,2,0,1,1,0,0,1,0,0,147,19,3,0,0,0,24,1,1,1,1,0,6,0,0,0,0,0,12,0,3,0,3,0,3,0,0,1,0,0,0,0,1,3,129,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,19,2,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.57.NPR",995,23,63,5,839,0,1,61,0,0,1,23,6,738,21,20,5,93,0,8,2,2,8,32,0,31,2,0,1,23,0,12,21,11,2,93,0,0,8,15,8,32,0,0,726,5,6,9,2,1,1,2,0,0,5,1,0,1,3,15,1,1,0,0,0,16,4,2,0,3,5,0,11,2,8,15,1,8,0,15,0,0,32,13,0,369,8,0,8,5,1,6,0,0,3,1,1,1,1,1,1,23,0,0,343,25,1,4,1,4,6,1,1,0,2,0,16,5,0,0,0,0,14,0,0,4,11,0,1,0,1,15,2,0,0,6,1,13,299,0,0,342,0,2,0,0,0,0,1,0,0,2,0,0,3,1,1,0,4,0,41,0,0,0,0,24,3,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,1,1,6,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,2,2,0,7,"Smoker","NPR"
"ESC.1.55.NPR",800,11,68,0,678,0,0,42,0,0,0,6,2,517,34,10,0,144,5,6,1,0,17,27,0,29,0,0,0,6,1,2,34,5,0,144,5,0,6,13,17,27,0,1,514,2,6,8,0,1,1,0,0,0,0,1,0,0,12,6,0,0,2,1,0,28,1,0,0,1,3,5,1,1,5,13,2,17,0,20,0,1,70,14,0,321,2,0,4,2,1,6,0,1,3,3,0,0,1,1,2,46,0,0,172,4,1,14,0,8,3,0,0,2,0,0,28,1,0,0,0,0,6,0,1,13,1,0,1,1,0,20,1,0,0,6,2,14,130,0,0,305,0,0,0,0,0,1,3,1,0,7,0,0,3,3,0,0,1,0,41,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,13,8,0,0,0,0,0,2,"Smoker","NPR"
"ESC.1.1.NPR",647,62,16,6,489,0,0,71,0,0,0,62,3,476,5,17,6,13,0,0,0,2,0,11,0,49,0,0,0,62,2,10,5,9,2,13,0,0,0,20,0,11,0,0,466,3,0,27,2,1,0,0,0,0,6,0,0,0,2,11,0,1,0,2,1,1,0,2,0,0,7,0,15,0,0,20,12,0,0,0,0,0,1,3,0,292,0,1,20,3,0,0,0,3,1,45,0,2,1,0,0,2,0,0,158,8,0,0,0,0,20,1,2,0,2,0,1,0,0,0,0,0,10,0,2,0,15,0,0,1,0,0,0,0,0,0,0,3,132,0,0,95,0,1,0,0,0,0,0,0,0,2,0,0,1,42,0,0,0,0,25,0,0,0,0,8,1,2,0,42,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.44.NPR",1047,171,42,2,766,0,0,66,0,0,0,171,4,745,21,20,2,21,0,1,0,2,0,20,0,40,0,0,0,171,0,13,21,7,2,21,0,0,1,15,0,20,0,0,732,4,0,25,2,1,3,0,1,0,2,0,0,1,1,16,1,3,0,0,4,18,0,2,0,1,3,0,150,0,1,15,3,0,0,4,0,0,2,4,0,470,4,2,17,4,0,0,0,0,2,7,0,2,1,3,0,2,1,0,255,15,0,0,1,0,15,3,2,1,2,0,18,0,0,0,0,0,16,1,1,0,150,0,2,1,2,4,0,0,0,0,1,4,213,0,0,449,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,40,0,3,0,0,15,3,0,1,7,1,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.63.NPR",1151,120,39,1,929,0,0,60,0,0,0,119,0,879,17,20,1,48,1,1,0,2,2,21,0,38,0,0,0,119,0,6,17,5,2,48,1,0,1,17,2,21,0,0,873,1,0,20,0,0,5,0,0,0,1,0,0,0,12,17,0,1,4,0,0,0,0,2,0,1,5,1,113,0,1,17,1,2,0,4,0,0,3,4,0,483,1,0,15,1,0,0,0,0,17,1,1,0,0,5,0,4,0,0,380,27,0,2,0,0,15,1,0,0,0,0,0,0,0,2,0,0,17,0,2,0,113,4,0,0,0,4,0,0,0,0,0,4,296,0,0,457,1,1,0,0,0,0,0,0,0,8,0,0,17,1,1,0,0,0,79,0,0,0,0,22,0,0,0,1,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,0,"Smoker","NPR"
"ESC.1.40.NPR",814,12,42,4,675,0,1,78,0,0,0,12,0,663,9,20,4,12,0,3,0,2,0,28,0,56,1,0,0,12,0,2,9,16,2,12,0,0,3,40,0,28,0,0,660,0,0,16,0,0,1,1,0,0,2,0,0,0,0,3,1,1,0,0,3,7,2,2,0,0,9,0,1,4,3,40,2,0,0,21,0,0,0,3,0,439,5,0,12,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,216,12,0,0,0,0,12,1,0,0,1,0,7,0,0,0,0,0,3,0,0,0,1,1,0,0,0,21,4,0,0,0,0,3,184,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,32,0,0,0,0,11,0,0,1,3,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"NonSmoker","NPR"
"ESC.1.51.NPR",1062,25,34,4,904,0,1,93,0,0,0,24,8,878,8,23,3,26,0,1,1,2,0,24,0,59,1,0,0,24,0,0,8,7,2,26,0,0,1,23,0,24,0,0,878,6,0,32,1,2,1,1,3,0,3,2,0,1,2,13,0,1,0,0,1,1,1,2,0,0,4,0,8,2,1,23,7,0,0,9,0,0,2,12,0,386,3,0,25,6,1,0,0,0,5,12,0,0,2,1,0,0,2,0,472,21,1,0,1,0,23,1,0,0,1,0,1,0,0,0,0,0,13,0,1,0,8,0,2,1,0,9,2,0,0,0,0,12,378,0,0,336,0,1,0,0,0,0,0,0,1,1,0,0,5,12,0,0,1,0,94,1,0,0,0,18,3,1,0,12,1,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"NonSmoker","NPR"
"ESC.1.61.NPR",757,9,33,2,649,0,0,64,0,0,0,9,4,623,8,15,2,23,0,2,1,1,3,22,0,43,0,0,0,9,0,1,8,9,1,23,0,0,2,11,3,22,0,0,622,3,1,31,2,0,1,0,1,0,2,0,0,0,0,11,0,1,1,0,1,6,1,1,0,1,7,0,0,0,2,11,4,3,0,11,0,0,8,7,0,327,1,0,30,3,0,1,0,0,2,7,0,0,0,1,0,5,0,0,283,9,0,2,0,0,8,1,0,0,1,0,6,0,0,0,0,0,11,0,2,1,0,0,0,1,1,11,0,0,0,1,0,7,240,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,42,0,0,0,0,9,3,0,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,"Smoker","NPR"
"ESC.1.30.NPR",1054,9,40,6,893,1,0,105,0,0,0,9,0,872,7,23,6,21,0,1,0,1,0,32,1,81,0,0,0,9,4,3,7,6,1,21,0,0,1,42,0,32,1,0,869,3,0,34,0,0,2,0,0,0,5,1,0,0,2,24,0,2,0,4,0,2,0,1,0,1,5,0,0,2,1,42,2,0,0,6,0,0,0,6,1,502,5,0,28,3,1,0,0,0,5,0,0,0,0,2,0,0,0,0,359,18,1,0,0,0,26,2,0,1,0,0,2,0,0,0,0,0,24,0,1,0,0,0,1,1,0,6,2,0,0,0,0,6,293,0,0,466,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,64,0,0,0,0,18,0,0,0,0,0,0,0,1,0,1,0,1,2,3,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.12.NPR",310,19,15,0,225,0,0,49,0,0,1,19,2,219,0,11,0,6,0,0,0,3,0,15,0,33,0,0,1,19,0,0,0,6,3,6,0,0,0,10,0,15,0,0,219,2,0,23,2,0,1,0,0,0,0,0,0,0,0,14,0,2,0,0,1,0,0,3,0,0,5,0,13,0,0,10,5,0,0,1,0,0,0,2,0,114,0,0,19,2,0,0,0,0,0,4,0,2,0,1,0,0,0,0,98,6,0,0,0,0,5,2,2,0,2,0,0,0,0,0,1,0,14,0,0,0,13,0,5,0,0,0,0,0,0,0,0,2,87,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,6,0,2,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"NonSmoker","NPR"
"ESC.1.50.NPR",902,8,34,2,787,0,0,69,0,0,0,8,5,751,10,17,2,35,0,3,4,2,1,19,0,41,2,0,0,8,1,0,10,11,2,35,0,0,3,19,1,19,0,0,751,3,0,21,2,2,0,2,0,0,1,0,0,0,4,12,1,2,0,1,1,3,0,2,0,0,7,0,3,0,3,19,2,1,0,7,0,0,0,9,0,413,0,0,15,3,2,0,0,1,5,2,1,2,2,0,1,1,0,0,327,30,0,0,0,0,11,2,1,1,1,0,3,0,0,1,0,0,12,0,2,0,3,0,4,1,0,7,0,0,0,0,0,9,264,0,0,387,0,0,0,0,0,0,0,0,0,3,0,1,5,2,1,0,0,0,61,0,0,0,0,30,2,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,"Smoker","NPR"
"ESC.1.33.NPR",1569,48,50,2,1341,0,1,124,0,0,0,48,1,1307,13,29,2,34,0,2,0,4,0,34,0,90,1,0,0,48,2,1,13,12,4,34,0,0,2,50,0,34,0,0,1306,5,0,37,1,0,4,1,0,0,2,0,0,0,0,24,1,7,6,2,1,5,0,4,0,0,7,0,29,3,2,50,4,0,0,7,0,0,0,13,0,751,1,0,26,5,3,0,0,0,8,8,3,1,0,4,0,0,0,0,532,33,0,0,0,0,26,5,1,0,3,0,5,0,0,0,0,0,24,0,1,0,29,0,0,1,0,7,3,0,0,0,0,13,415,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,115,1,1,0,0,33,4,0,1,8,0,0,0,0,0,1,0,2,1,10,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"NonSmoker","NPR"
"ESC.1.27.NPR",576,4,20,1,485,0,0,65,0,0,0,4,3,476,3,15,1,9,0,3,1,1,0,13,0,45,1,0,0,4,1,1,3,7,1,9,0,0,3,14,0,13,0,0,475,6,2,27,1,1,1,1,1,0,1,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,2,0,1,4,3,14,0,0,0,6,0,0,0,4,0,294,0,0,19,6,3,2,0,0,3,2,1,0,1,1,0,0,1,0,177,7,0,0,0,0,17,0,0,1,1,0,0,0,0,0,3,0,3,0,0,0,1,0,2,0,0,3,4,0,0,2,0,4,144,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,32,0,0,0,0,7,5,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,"NonSmoker","NPR"
"ESC.1.10.NPR",953,31,413,0,283,127,0,31,0,22,46,21,0,56,410,5,0,217,10,0,0,21,10,3,127,5,0,0,46,21,0,0,410,0,21,217,10,2,0,0,10,3,127,2,54,5,5,0,0,0,0,0,0,0,0,0,2,30,14,0,0,7,0,0,0,0,0,21,7,0,0,10,0,0,0,0,0,10,1,3,104,2,43,0,22,0,0,14,0,5,0,5,1,60,318,0,0,0,0,0,0,0,0,0,47,139,0,0,30,0,0,7,0,0,0,10,0,0,10,21,3,3,0,0,0,0,0,0,0,0,0,0,0,104,7,5,0,0,0,0,22,0,14,0,1,2,5,12,0,5,14,0,1,53,318,0,0,14,0,6,47,0,0,2,0,112,0,0,0,0,0,0,0,0,0,105,0,0,0,0,157,2,14,2,0,5,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.71.NPR",445,5,21,0,380,0,2,36,0,0,0,5,0,371,4,19,0,9,0,2,1,1,0,15,0,15,0,0,0,5,0,0,4,11,1,9,0,0,2,7,0,15,0,0,371,0,0,8,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,1,0,0,8,0,0,3,2,7,0,0,0,9,0,0,2,2,0,244,0,2,1,0,0,0,0,0,1,2,1,0,0,4,0,3,0,0,125,4,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,3,0,0,0,0,2,109,0,0,238,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,3,0,15,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"NonSmoker","NPR"
"ESC.1.72.NPR",774,15,30,0,674,0,0,53,0,0,0,15,6,647,5,20,0,27,0,5,2,0,0,19,0,25,0,0,0,15,1,3,5,13,0,27,0,0,5,6,0,19,0,0,644,1,1,15,2,1,3,0,3,0,0,2,0,0,0,4,0,1,0,1,0,3,3,0,0,1,9,0,0,3,5,6,3,0,0,12,0,0,11,14,0,425,7,0,11,1,1,1,0,0,2,6,0,2,1,3,0,5,3,0,202,7,2,0,0,0,7,1,2,0,0,0,3,0,0,0,0,0,4,0,2,3,0,0,4,1,0,12,3,0,0,1,0,14,166,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,3,0,36,0,0,0,0,7,1,0,1,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NonSmoker","NPR"
"ESC.1.49.NPR",1038,5,34,4,899,0,0,95,0,0,0,4,2,867,4,27,4,32,1,2,1,1,0,28,0,64,0,0,0,4,0,0,4,13,1,32,1,0,2,29,0,28,0,0,867,4,0,33,0,0,2,0,2,0,4,2,0,0,0,24,0,1,0,0,1,0,0,1,0,1,8,1,1,1,2,29,4,0,0,3,0,0,2,8,0,419,2,0,22,4,4,0,0,0,4,0,0,0,0,2,0,1,2,0,436,27,2,0,0,0,19,1,0,0,0,1,0,0,0,0,0,0,24,0,1,1,1,0,3,0,0,3,1,0,0,0,0,8,361,0,0,386,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,74,1,1,0,0,25,2,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.54.NPR",896,19,30,3,781,0,0,61,0,0,0,15,4,696,5,12,2,81,4,4,0,1,4,21,0,44,0,0,0,15,1,2,5,4,1,81,4,0,4,17,4,21,0,0,694,2,1,25,1,0,0,0,3,0,2,0,0,0,2,10,3,1,0,1,0,2,1,1,0,0,3,4,6,2,4,17,6,4,0,9,0,0,31,5,0,400,0,1,14,2,0,1,0,0,2,4,0,1,0,0,0,26,2,0,283,20,0,4,0,3,12,1,1,0,0,1,2,1,0,1,0,0,10,0,0,10,6,1,1,0,0,9,2,0,0,1,0,5,226,0,0,379,0,0,0,0,1,0,2,0,0,2,0,0,2,3,0,1,1,0,57,0,0,0,0,18,0,0,0,3,0,0,0,0,0,3,0,3,0,2,1,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.69.NPR",579,22,24,2,485,1,0,45,0,0,0,22,2,456,8,8,2,29,0,0,0,0,0,16,1,35,0,0,0,22,2,2,8,3,0,29,0,0,0,19,0,16,1,0,454,0,0,13,0,0,1,0,1,0,2,0,0,0,0,13,0,1,9,2,0,8,0,0,0,0,3,0,13,2,0,19,0,0,0,1,0,0,5,7,1,230,0,0,9,0,0,0,0,0,0,7,0,0,0,1,0,5,1,0,207,18,0,0,0,1,9,1,0,0,0,0,8,0,0,0,0,0,13,0,1,0,13,1,0,0,0,1,2,0,0,0,0,7,159,0,1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,47,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Smoker","NPR"
"ESC.1.26.NPR",867,49,38,1,693,0,1,82,0,0,0,49,10,670,7,23,1,23,0,2,1,1,0,29,0,47,0,0,0,49,1,2,7,11,1,23,0,0,2,20,0,29,0,0,667,1,0,25,4,0,7,0,5,0,1,0,0,0,7,19,1,4,0,1,0,1,0,1,0,0,5,0,32,2,2,20,0,0,0,8,0,0,0,4,0,396,3,1,15,1,4,0,0,1,5,8,0,4,0,7,0,0,5,0,267,16,0,0,0,0,10,3,4,5,0,0,1,0,0,1,0,0,19,0,3,0,32,0,4,0,0,8,2,0,0,0,0,4,218,0,0,379,0,1,0,0,0,0,0,0,0,2,0,0,5,7,0,0,0,0,46,0,0,0,0,16,0,0,6,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"NonSmoker","NPR"
"ESC.1.37.NPR",874,25,40,0,762,0,2,44,0,0,0,24,3,739,6,12,0,22,1,5,1,0,1,28,0,28,1,0,0,24,0,2,6,6,0,22,1,0,5,12,1,28,0,0,737,1,1,14,1,1,0,1,0,0,0,0,0,0,12,6,1,1,0,0,1,4,1,0,0,0,3,1,14,3,5,12,2,1,0,19,0,0,1,6,0,467,4,1,10,1,0,1,0,0,2,2,0,1,1,0,0,3,0,0,262,6,0,0,0,0,7,1,1,1,0,1,4,0,0,0,0,0,6,0,0,0,14,0,3,0,1,19,3,0,0,0,0,6,216,0,0,455,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,1,0,44,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
