"parent","child"
"c__Deltaproteobacteria","o__MIZ46"
"c__Deltaproteobacteria","o__Spirobacillales"
"c__Elusimicrobia","o__Elusimicrobiales"
"c__Epsilonproteobacteria","o__Campylobacterales"
"c__Erysipelotrichi","o__Erysipelotrichales"
"c__Fimbriimonadetes","o__Fimbriimonadales"
"c__Flavobacteriia","o__Flavobacteriales"
"c__Fusobacteria","o__Fusobacteriales"
"c__Gammaproteobacteria","o__Enterobacteriales"
"c__Gammaproteobacteria","o__Alteromonadales"
"c__Gammaproteobacteria","o__Chromatiales"
"c__Gammaproteobacteria","o__Pseudomonadales"
"c__Gammaproteobacteria","o__Pasteurellales"
"c__Gammaproteobacteria","o__Xanthomonadales"
"c__Gammaproteobacteria","o__Oceanospirillales"
"c__Gammaproteobacteria","o__Aeromonadales"
"c__Gammaproteobacteria","o__Legionellales"
"c__Gammaproteobacteria","o__Thiotrichales"
"c__Gammaproteobacteria","o__Methylococcales"
"c__Gammaproteobacteria","o__Vibrionales"
"c__Gammaproteobacteria","o__PYR10d3"
"c__Gammaproteobacteria","o__Cardiobacteriales"
"c__Gammaproteobacteria","o__HTCC2188"
"c__Gammaproteobacteria","o__Thiohalorhabdales"
"c__Gemmatimonadetes","o__Ellin5290"
"c__Gemmatimonadetes","o__Gemmatimonadales"
"c__Holophagae","o__Holophagales"
"c__Ignavibacteria","o__Ignavibacteriales"
"c__Lentisphaeria","o__Victivallales"
"c__Lentisphaeria","o__Z20"
"c__Mollicutes","o__RF39"
"c__Mollicutes","o__Anaeroplasmatales"
"c__Mollicutes","o__Mycoplasmatales"
"c__Mollicutes","o__Acholeplasmatales"
"c__Nitriliruptoria","o__Nitriliruptorales"
"c__Opitutae","o__Opitutales"
"c__Opitutae","o__Cerasicoccales"
"c__Oscillatoriophycideae","o__Chroococcales"
"c__Pedosphaerae","o__Pedosphaerales"
"c__Planctomycetia","o__Gemmatales"
"c__Planctomycetia","o__Pirellulales"
"c__RF3","o__ML615J-28"
"c__Rubrobacteria","o__Rubrobacterales"
"c__Solibacteres","o__Solibacterales"
"c__Spartobacteria","o__Chthoniobacterales"
"c__Sphingobacteriia","o__Sphingobacteriales"
"c__Spirochaetes","o__Spirochaetales"
"c__Spirochaetes","o__Sphaerochaetales"
"c__Sva0725","o__Sva0725"
"c__Synechococcophycideae","o__Synechococcales"
"c__Synergistia","o__Synergistales"
"c__Thermoleophilia","o__Gaiellales"
"c__Thermoleophilia","o__Solirubrobacterales"
"c__Thermomicrobia","o__JG30-KF-CM45"
"c__Thermotogae","o__Thermotogales"
"c__TM7-3","o__CW040"
"c__TM7-3","o__I025"
"c__Verruco-5","o__WCHB1-41"
"c__Verrucomicrobiae","o__Verrucomicrobiales"
"o__Acholeplasmatales","f__Acholeplasmataceae"
"o__Acidimicrobiales","f__koll13"
"o__Acidimicrobiales","f__C111"
"o__Acidimicrobiales","f__EB1017"
"o__Acidobacteriales","f__Acidobacteriaceae"
"o__Acidobacteriales","f__Koribacteraceae"
"o__Actinomycetales","f__Corynebacteriaceae"
"o__Actinomycetales","f__Nocardioidaceae"
"o__Actinomycetales","f__Gordoniaceae"
"o__Actinomycetales","f__Cellulomonadaceae"
"o__Actinomycetales","f__Actinomycetaceae"
"o__Actinomycetales","f__Micrococcaceae"
"o__Actinomycetales","f__Micromonosporaceae"
"o__Actinomycetales","f__Intrasporangiaceae"
