"parent","child"
"f__Gemellaceae","g__Gemella"
"f__Gemmatimonadaceae","g__Gemmatimonas"
"f__Geodermatophilaceae","g__Geodermatophilus"
"f__Gordoniaceae","g__Gordonia"
"f__Halomonadaceae","g__Candidatus Portiera"
"f__Herpetosiphonaceae","g__Herpetosiphon"
"f__Holophagaceae","g__Geothrix"
"f__HTCC2188","g__HTCC"
"f__Hyphomicrobiaceae","g__Pedomicrobium"
"f__Hyphomicrobiaceae","g__Rhodoplanes"
"f__Hyphomicrobiaceae","g__Hyphomicrobium"
"f__Hyphomicrobiaceae","g__Devosia"
"f__Hyphomonadaceae","g__Oceanicaulis"
"f__Idiomarinaceae","g__Idiomarina"
"f__Idiomarinaceae","g__Pseudidiomarina"
"f__Intrasporangiaceae","g__Terracoccus"
"f__Intrasporangiaceae","g__Janibacter"
"f__Intrasporangiaceae","g__Phycicoccus"
"f__Koribacteraceae","g__Candidatus Koribacter"
"f__Lachnospiraceae","g__Dorea"
"f__Lachnospiraceae","g__Blautia"
"f__Lachnospiraceae","g__Ruminococcus"
"f__Lachnospiraceae","g__Coprococcus"
"f__Lachnospiraceae","g__Roseburia"
"f__Lachnospiraceae","g__Lachnospira"
"f__Lachnospiraceae","g__Butyrivibrio"
"f__Lachnospiraceae","g__Lachnobacterium"
"f__Lachnospiraceae","g__Shuttleworthia"
"f__Lachnospiraceae","g__Moryella"
"f__Lachnospiraceae","g__Pseudobutyrivibrio"
"f__Lachnospiraceae","g__Anaerostipes"
"f__Lachnospiraceae","g__Catonella"
"f__Lachnospiraceae","g__Oribacterium"
"f__Lactobacillaceae","g__Lactobacillus"
"f__Lactobacillaceae","g__Pediococcus"
"f__Legionellaceae","g__Legionella"
"f__Leptotrichiaceae","g__Leptotrichia"
"f__Leptotrichiaceae","g__Streptobacillus"
"f__Leptotrichiaceae","g__Sneathia"
"f__Leuconostocaceae","g__Weissella"
"f__Leuconostocaceae","g__Leuconostoc"
"f__Leuconostocaceae","g__Fructobacillus"
"f__Methylobacteriaceae","g__Methylobacterium"
"f__Methylophilaceae","g__Methylotenera"
"f__Methylophilaceae","g__Methylobacillus"
"f__Microbacteriaceae","g__Agromyces"
"f__Microbacteriaceae","g__Leucobacter"
"f__Microbacteriaceae","g__Agrococcus"
"f__Microbacteriaceae","g__Microbacterium"
"f__Microbacteriaceae","g__Cryobacterium"
"f__Microbacteriaceae","g__Salinibacterium"
"f__Microbacteriaceae","g__Curtobacterium"
"f__Microbacteriaceae","g__Rathayibacter"
"f__Microbacteriaceae","g__Candidatus Aquiluna"
"f__Microbacteriaceae","g__Cryocola"
"f__Microbacteriaceae","g__Frigoribacterium"
"f__Micrococcaceae","g__Kocuria"
"f__Micrococcaceae","g__Micrococcus"
"f__Micrococcaceae","g__Rothia"
"f__Micrococcaceae","g__Arthrobacter"
"f__Micrococcaceae","g__Nesterenkonia"
"f__Micrococcaceae","g__Renibacterium"
"f__Micrococcaceae","g__Sinomonas"
"f__Micromonosporaceae","g__Pilimelia"
"f__Micromonosporaceae","g__Actinoplanes"
"f__Moraxellaceae","g__Acinetobacter"
"f__Moraxellaceae","g__Enhydrobacter"
"f__Moraxellaceae","g__Psychrobacter"
"f__Moraxellaceae","g__Alkanindiges"
"f__Moraxellaceae","g__Moraxella"
"f__Mycobacteriaceae","g__Mycobacterium"
"f__Mycoplasmataceae","g__Ureaplasma"
"f__Mycoplasmataceae","g__Mycoplasma"
"f__Myxococcaceae","g__Myxococcus"
"f__Myxococcaceae","g__Anaeromyxobacter"
"f__Neisseriaceae","g__Eikenella"
"f__Neisseriaceae","g__Neisseria"
"f__Neisseriaceae","g__Kingella"
"f__Neisseriaceae","g__Conchiformibius"
"f__Neisseriaceae","g__Vogesella"
"f__Neisseriaceae","g__Chromobacterium"
"f__Nocardiaceae","g__Rhodococcus"
"f__Nocardioidaceae","g__Aeromicrobium"
"f__Nocardioidaceae","g__Nocardioides"
"f__Oceanospirillaceae","g__Oleibacter"
"f__Oceanospirillaceae","g__Marinomonas"
"f__Odoribacteraceae","g__Odoribacter"
"f__Odoribacteraceae","g__Butyricimonas"
"f__OM60","g__Congregibacter"
"f__Opitutaceae","g__Opitutus"
"f__Oxalobacteraceae","g__Polynucleobacter"
"f__Oxalobacteraceae","g__Ralstonia"
"f__Oxalobacteraceae","g__Cupriavidus"
"f__Oxalobacteraceae","g__Collimonas"
"f__Oxalobacteraceae","g__Herbaspirillum"
"f__Oxalobacteraceae","g__Janthinobacterium"
"f__Oxalobacteraceae","g__Oxalobacter"
"f__Oxalobacteraceae","g__Herminiimonas"
"f__Paenibacillaceae","g__Cohnella"
"f__Paenibacillaceae","g__Paenibacillus"
"f__Paenibacillaceae","g__Brevibacillus"
"f__Paraprevotellaceae","g__Prevotella"
"f__Paraprevotellaceae","g__CF231"
"f__Paraprevotellaceae","g__Paraprevotella"
"f__Paraprevotellaceae","g__YRC22"
"f__Pasteurellaceae","g__Pasteurella"
"f__Pasteurellaceae","g__Haemophilus"
"f__Pasteurellaceae","g__Avibacterium"
"f__Pasteurellaceae","g__Actinobacillus"
"f__Pasteurellaceae","g__Aggregatibacter"
"f__Pasteurellaceae","g__Mannheimia"
"f__Pasteurellaceae","g__Gallibacterium"
"f__Pasteurellaceae","g__Volucribacter"
"f__Pasteurellaceae","g__Chelonobacter"
"f__Peptococcaceae","g__rc4-4"
"f__Peptococcaceae","g__Peptococcus"
"f__Peptococcaceae","g__Desulfotomaculum"
"f__Peptostreptococcaceae","g__Peptostreptococcus"
"f__Peptostreptococcaceae","g__Filifactor"
"f__Phyllobacteriaceae","g__Phyllobacterium"
"f__Phyllobacteriaceae","g__Mesorhizobium"
"f__Phyllobacteriaceae","g__Aminobacter"
"f__Pirellulaceae","g__Pirellula"
"f__Piscirickettsiaceae","g__Methylophaga"
"f__Planococcaceae","g__Sporosarcina"
"f__Planococcaceae","g__Solibacillus"
"f__Planococcaceae","g__Rummeliibacillus"
"f__Planococcaceae","g__Planococcus"
"f__Planococcaceae","g__Lysinibacillus"
"f__Planococcaceae","g__Planomicrobium"
"f__Porphyromonadaceae","g__Dysgonomonas"
"f__Porphyromonadaceae","g__Porphyromonas"
"f__Porphyromonadaceae","g__Candidatus Azobacteroides"
"f__Porphyromonadaceae","g__Parabacteroides"
"f__Porphyromonadaceae","g__Paludibacter"
"f__Prevotellaceae","g__Prevotella2"
"f__Promicromonosporaceae","g__Cellulosimicrobium"
"f__Propionibacteriaceae","g__Propionibacterium"
"f__Pseudoalteromonadaceae","g__Pseudoalteromonas"
"f__Pseudomonadaceae","g__Pseudomonas"
"f__Pseudomonadaceae","g__Azorhizophilus"
"f__Pseudonocardiaceae","g__Saccharopolyspora"
"f__Pseudonocardiaceae","g__Pseudonocardia"
"f__Pseudonocardiaceae","g__Actinomycetospora"
"f__Pseudonocardiaceae","g__Jiangella"
"f__Rhizobiaceae","g__Agrobacterium"
"f__Rhizobiaceae","g__Rhizobium"
"f__Rhodobacteraceae","g__Rhodobaca"
"f__Rhodobacteraceae","g__Rhodobacter"
"f__Rhodobacteraceae","g__Paracoccus"
"f__Rhodobacteraceae","g__Amaricoccus"
"f__Rhodocyclaceae","g__Dechloromonas"
"f__Rhodocyclaceae","g__Zoogloea"
"f__Rhodocyclaceae","g__Azospira"
"f__Rhodocyclaceae","g__Sulfuritalea"
"f__Rhodocyclaceae","g__Thauera"
"f__Rhodocyclaceae","g__Uliginosibacterium"
"f__Rhodocyclaceae","g__Azoarcus"
"f__Rhodocyclaceae","g__C39"
"f__Rhodocyclaceae","g__Propionivibrio"
"f__Rhodocyclaceae","g__KD1-23"
"f__Rhodocyclaceae","g__K82"
"f__Rhodocyclaceae","g__Dok59"
"f__Rhodocyclaceae","g__Candidatus Accumulibacter"
"f__Rhodocyclaceae","g__Hydrogenophilus"
"f__Rhodospirillaceae","g__Azospirillum"
"f__Rhodospirillaceae","g__Skermanella"
"f__Rickettsiaceae","g__Rickettsia"
"f__Rikenellaceae","g__Rikenella"
"f__Rubrobacteraceae","g__Rubrobacter"
"f__Ruminococcaceae","g__Faecalibacterium"
"f__Ruminococcaceae","g__Ruminococcus2"
"f__Ruminococcaceae","g__Oscillospira"
"f__Ruminococcaceae","g__Anaerotruncus"
"f__Saccharospirillaceae","g__Reinekea"
"f__Sanguibacteraceae","g__Sanguibacter"
"f__Shewanellaceae","g__Shewanella"
"f__Sinobacteraceae","g__Nevskia"
"f__Solibacteraceae","g__Candidatus Solibacter"
"f__Solirubrobacteraceae","g__Solirubrobacter"
"f__Sphingobacteriaceae","g__Pedobacter"
"f__Sphingobacteriaceae","g__Sphingobacterium"
"f__Sphingomonadaceae","g__Novosphingobium"
"f__Sphingomonadaceae","g__Sphingomonas"
"f__Sphingomonadaceae","g__Sphingobium"
"f__Sphingomonadaceae","g__Sphingopyxis"
"f__Sphingomonadaceae","g__Kaistobacter"
"f__Sphingomonadaceae","g__Blastomonas"
"f__Spirochaetaceae","g__Treponema"
"f__Sporolactobacillaceae","g__Pullulanibacillus"
"f__Sporolactobacillaceae","g__Sporolactobacillus"
"f__Staphylococcaceae","g__Staphylococcus"
"f__Staphylococcaceae","g__Macrococcus"
"f__Staphylococcaceae","g__Jeotgalicoccus"
"f__Staphylococcaceae","g__Salinicoccus"
"f__Streptococcaceae","g__Streptococcus"
"f__Streptococcaceae","g__Lactococcus"
"f__Streptomycetaceae","g__Streptomyces"
"f__Succinivibrionaceae","g__Ruminobacter"
"f__Succinivibrionaceae","g__Succinivibrio"
"f__Symbiobacteriaceae","g__Symbiobacterium"
"f__Synechococcaceae","g__Prochlorococcus"
"f__Synergistaceae","g__Cloacibacillus"
"f__Synergistaceae","g__Synergistes"
"f__Thermaceae","g__Meiothermus"
"f__Thermaceae","g__Thermus"
"f__Thermicanaceae","g__Thermicanus"
"f__Thermoactinomycetaceae","g__Thermoactinomyces"
"f__Thermotogaceae","g__Fervidobacterium"
"f__Thiotrichaceae","g__Leucothrix"
"f__Thiotrichaceae","g__Thiothrix"
"f__Turicibacteraceae","g__Turicibacter"
"f__Veillonellaceae","g__Phascolarctobacterium"
"f__Veillonellaceae","g__Megasphaera"
"f__Veillonellaceae","g__Veillonella"
"f__Veillonellaceae","g__Megamonas"
"f__Veillonellaceae","g__Dialister"
"f__Veillonellaceae","g__Acidaminococcus"
"f__Veillonellaceae","g__Selenomonas"
"f__Veillonellaceae","g__Pectinatus"
"f__Veillonellaceae","g__Negativicoccus"
"f__Veillonellaceae","g__Succiniclasticum"
"f__Verrucomicrobiaceae","g__Akkermansia"
"f__Verrucomicrobiaceae","g__Luteolibacter"
"f__Vibrionaceae","g__Vibrio"
"f__Vibrionaceae","g__Salinivibrio"
"f__Williamsiaceae","g__Williamsia"
"f__Xanthomonadaceae","g__Lysobacter"
"f__Xanthomonadaceae","g__Pseudoxanthomonas"
"f__Xanthomonadaceae","g__Xylella"
"f__Xanthomonadaceae","g__Stenotrophomonas"
"f__Xanthomonadaceae","g__Thermomonas"
"f__Yaniellaceae","g__Yaniella"
"g__Acidovorax","s__delafieldii"
"g__Acinetobacter","s__johnsonii"
"g__Acinetobacter","s__schindleri"
"g__Acinetobacter","s__rhizosphaerae"
"g__Acinetobacter","s__lwoffii"
"g__Acinetobacter","s__guillouiae"
"g__Actinobacillus","s__parahaemolyticus"
"g__Actinobacillus","s__porcinus"
"g__Actinobaculum","s__massiliense"
"g__Actinomyces","s__neuii"
"g__Actinomyces","s__europaeus"
"g__Aggregatibacter","s__segnis"
"g__Agrobacterium","s__vitis"
"g__Agrococcus","s__jenensis"
"g__Akkermansia","s__muciniphila"
"g__Alloscardovia","s__omnicolens"
"g__Anaerococcus","s__prevotii"
"g__Anaerococcus","s__hydrogenalis"
"g__Anoxybacillus","s__kestanbolensis"
"g__Arcanobacterium","s__pyogenes"
"g__Arthrobacter","s__psychrolactophilus"
"g__Arthrospira","s__fusiformis"
"g__Atopobium","s__rimae"
"g__Avibacterium","s__gallinarum"
"g__Bacillus","s__humi"
"g__Bacillus","s__flexus"
"g__Bacillus","s__selenatarsenatis"
"g__Bacillus","s__ginsengihumi"
"g__Bacillus","s__muralis"
"g__Bacillus","s__asahii"
"g__Bacillus","s__firmus"
"g__Bacillus","s__horikoshii"
"g__Bacillus","s__pseudofirmus"
"g__Bacillus","s__endophyticus"
"g__Bacteroides","s__eggerthii"
"g__Bacteroides","s__plebeius"
"g__Bacteroides","s__fragilis"
"g__Bacteroides","s__acidifaciens"
"g__Bacteroides","s__uniformis"
"g__Bacteroides","s__ovatus"
"g__Bacteroides","s__caccae"
"g__Bacteroides","s__coprophilus"
"g__Bacteroides","s__helcogenes"
"g__Bifidobacterium","s__longum"
"g__Bifidobacterium","s__bifidum"
"g__Bifidobacterium","s__pseudolongum"
"g__Bifidobacterium","s__adolescentis"
"g__Bifidobacterium","s__animalis"
"g__Bifidobacterium","s__breve"
"g__Bifidobacterium","s__thermacidophilum"
"g__Blastomonas","s__natatoria"
"g__Blautia","s__obeum"
"g__Blautia","s__producta"
"g__Brevibacillus","s__reuszeri"
"g__Brevibacterium","s__aureum"
"g__Brevibacterium","s__paucivorans"
"g__Brevundimonas","s__diminuta"
"g__Bulleidia","s__moorei"
"g__Burkholderia","s__andropogonis"
"g__Campylobacter","s__rectus"
"g__Campylobacter","s__fetus"
"g__Campylobacter","s__ureolyticus"
"g__Candidatus Aquiluna","s__rubra"
"g__Capnocytophaga","s__ochracea"
"g__Cardiobacterium","s__valvarum"
"g__Chelonobacter","s__Taxon"
"g__Clostridium","s__butyricum"
"g__Clostridium","s__hiranonis"
"g__Clostridium","s__perfringens"
"g__Clostridium","s__neonatale"
"g__Clostridium","s__subterminale"
"g__Collinsella","s__aerofaciens"
"g__Collinsella","s__stercoris"
"g__Coprococcus","s__catus"
"g__Coprococcus","s__eutactus"
"g__Corynebacterium","s__lubricantis"
"g__Corynebacterium","s__bovis"
"g__Corynebacterium","s__simulans"
"g__Corynebacterium","s__variabile"
"g__Corynebacterium","s__urealyticum"
"g__Corynebacterium","s__renale"
"g__Corynebacterium","s__kroppenstedtii"
"g__Cryobacterium","s__psychrophilum"
"g__Dechloromonas","s__fungiphilus"
"g__Deinococcus","s__geothermalis"
"g__Desulfovibrio","s__D168"
"g__Dialister","s__invisus"
"g__Dialister","s__micraerophilus"
"g__Dorea","s__formicigenerans"
"g__Eggerthella","s__lenta"
"g__Enterobacter","s__hormaechei"
"g__Enterobacter","s__cowanii"
"g__Enterococcus","s__casseliflavus"
"g__Erwinia","s__oleae"
"g__Erwinia","s__dispersa"
"g__Erythromicrobium","s__ramosum"
"g__Eubacterium","s__biforme"
"g__Eubacterium","s__dolichum"
"g__Eubacterium","s__cylindroides"
"g__Eubacterium2","s__limosum"
"g__Exiguobacterium","s__indicum"
"g__Faecalibacterium","s__prausnitzii"
"g__Flavobacterium","s__succinicans"
"g__Fusobacterium","s__necrophorum"
"g__Geobacillus","s__thermodenitrificans"
"g__Geobacillus","s__vulcani"
"g__Geodermatophilus","s__obscurus"
"g__Haemophilus","s__parainfluenzae"
"g__Haemophilus","s__influenzae"
"g__Herpetosiphon","s__agaradhaerens"
"g__Hyphomicrobium","s__sulfonivorans"
"g__Janthinobacterium","s__lividum"
"g__Jeotgalicoccus","s__psychrophilus"
"g__Lactobacillus","s__ruminis"
"g__Lactobacillus","s__brevis"
"g__Lactobacillus","s__reuteri"
"g__Lactobacillus","s__helveticus"
"g__Lactobacillus","s__iners"
"g__Lactobacillus","s__zeae"
"g__Lactobacillus","s__crispatus"
"g__Lactobacillus","s__agilis"
"g__Lactobacillus","s__hamsteri"
"g__Lactobacillus","s__pontis"
"g__Lactobacillus","s__mucosae"
"g__Lactobacillus","s__coleohominis"
"g__Leuconostoc","s__mesenteroides"
"g__Lysinibacillus","s__boronitolerans"
"g__Macrococcus","s__caseolyticus"
"g__Megasphaera","s__micronuciformis"
"g__Megasphaera","s__elsdenii"
"g__Megasphaera","s__geminatus"
"g__Melissococcus","s__plutonius"
"g__Methylobacterium","s__organophilum"
"g__Methylobacterium","s__komagatae"
"g__Methylotenera","s__mobilis"
"g__Microbacterium","s__chocolatum"
"g__Microbacterium","s__maritypicum"
"g__Micrococcus","s__luteus"
"g__Morganella","s__morganii"
"g__Moryella","s__indoligenes"
"g__Mycobacterium","s__celatum"
"g__Mycobacterium","s__triviale"
"g__Neisseria","s__cinerea"
"g__Nevskia","s__ramosa"
"g__Novosphingobium","s__resinovorum"
"g__Oceanobacillus","s__oncorhynchi"
"g__Oligella","s__urethralis"
"g__Olsenella","s__uli"
"g__Oscillospira","s__guilliermondii"
"g__Oxalobacter","s__formigenes"
"g__Paenibacillus","s__barengoltzii"
"g__Parabacteroides","s__gordonii"
"g__Parabacteroides","s__distasonis"
"g__Pasteurella","s__multocida"
"g__Pedobacter","s__cryoconitis"
"g__Peptoniphilus","s__asaccharolyticus"
"g__Peptostreptococcus","s__anaerobius"
"g__Plesiomonas","s__shigelloides"
"g__Polynucleobacter","s__cosmopolitanus"
"g__Porphyromonas","s__endodontalis"
"g__Prevotella","s__tannerae"
"g__Prevotella2","s__copri"
"g__Prevotella2","s__stercorea"
"g__Prevotella2","s__melaninogenica"
"g__Prevotella2","s__pallens"
"g__Prevotella2","s__nanceiensis"
"g__Prevotella2","s__intermedia"
"g__Prevotella2","s__ruminicola"
"g__Prevotella2","s__nigrescens"
"g__Prochlorococcus","s__marinus"
"g__Propionibacterium","s__acnes"
"g__Propionibacterium","s__granulosum"
"g__Pseudoclavibacter","s__bifida"
"g__Pseudomonas","s__viridiflava"
"g__Pseudomonas","s__veronii"
"g__Pseudomonas","s__fragi"
"g__Pseudomonas","s__citronellolis"
"g__Pseudomonas","s__stutzeri"
"g__Pseudomonas","s__alcaligenes"
"g__Pseudomonas","s__nitroreducens"
"g__Pseudoxanthomonas","s__mexicana"
"g__Psychrobacter","s__pulmonis"
"g__Psychrobacter","s__marincola"
"g__Rathayibacter","s__caricis"
"g__Rhizobium","s__multihospitium"
"g__Rhodococcus","s__fascians"
"g__Roseateles","s__depolymerans"
"g__Roseburia","s__faecis"
"g__Roseomonas","s__mucosa"
"g__Rothia","s__mucilaginosa"
"g__Rothia","s__aeria"
"g__Ruminococcus","s__gnavus"
"g__Ruminococcus2","s__flavefaciens"
"g__Ruminococcus2","s__bromii"
"g__Ruminococcus2","s__callidus"
"g__Salinivibrio","s__costicola"
"g__Serratia","s__marcescens"
"g__Shewanella","s__amazonensis"
"g__Solibacillus","s__silvestris"
"g__Sphingobacterium","s__multivorum"
"g__Sphingobacterium","s__faecium"
"g__Sphingomonas","s__yabuuchiae"
"g__Sphingomonas","s__leidyia"
"g__Sphingomonas","s__wittichii"
"g__Staphylococcus","s__sciuri"
"g__Staphylococcus","s__epidermidis"
"g__Staphylococcus","s__aureus"
"g__Staphylococcus","s__haemolyticus"
"g__Staphylococcus","s__equorum"
"g__Stenotrophomonas","s__geniculata"
"g__Streptococcus","s__agalactiae"
"g__Streptococcus","s__alactolyticus"
"g__Streptococcus","s__pseudopneumoniae"
"g__Streptococcus","s__sobrinus"
"g__Streptococcus","s__luteciae"
"g__Streptococcus","s__infantis"
"g__Streptococcus","s__criceti"
"g__Streptococcus","s__equi"
"g__Streptococcus","s__anginosus"
"g__Streptococcus","s__phocae"
"g__Streptomyces","s__radiopugnans"
"g__Sulfurospirillum","s__barnesii"
"g__Trabulsiella","s__farmeri"
"g__Varibaculum","s__cambriense"
"g__Variovorax","s__paradoxus"
"g__Veillonella","s__dispar"
"g__Veillonella","s__parvula"
"g__Virgibacillus","s__halodenitrificans"
"g__Wautersiella","s__falsenii"
"k__Bacteria","k__Bacteria"
"p__Acidobacteria","p__Acidobacteria"
"p__Actinobacteria","p__Actinobacteria"
"p__Aquificae","p__Aquificae"
"p__Armatimonadetes","p__Armatimonadetes"
"p__Bacteroidetes","p__Bacteroidetes"
"p__Chlamydiae","p__Chlamydiae"
"p__Chlorobi","p__Chlorobi"
"p__Chloroflexi","p__Chloroflexi"
"p__Cyanobacteria","p__Cyanobacteria"
"p__Elusimicrobia","p__Elusimicrobia"
"p__Firmicutes","p__Firmicutes"
"p__Fusobacteria","p__Fusobacteria"
"p__Gemmatimonadetes","p__Gemmatimonadetes"
"p__Lentisphaerae","p__Lentisphaerae"
"p__Planctomycetes","p__Planctomycetes"
"p__Proteobacteria","p__Proteobacteria"
"p__Spirochaetes","p__Spirochaetes"
"p__SR1","p__SR1"
"p__Synergistetes","p__Synergistetes"
"p__Tenericutes","p__Tenericutes"
"p__Thermi","p__Thermi"
"p__Thermotogae","p__Thermotogae"
"p__TM7","p__TM7"
"p__Verrucomicrobia","p__Verrucomicrobia"
"p__WPS-2","p__WPS-2"
"c__4C0d-2","c__4C0d-2"
"c__Acidimicrobiia","c__Acidimicrobiia"
"c__Acidobacteria","c__Acidobacteria"
"c__Acidobacteria-5","c__Acidobacteria-5"
"c__Acidobacteria-6","c__Acidobacteria-6"
"c__Actinobacteria","c__Actinobacteria"
"c__Alphaproteobacteria","c__Alphaproteobacteria"
"c__Anaerolineae","c__Anaerolineae"
"c__Aquificae","c__Aquificae"
"c__Armatimonadia","c__Armatimonadia"
"c__Bacilli","c__Bacilli"
"c__Bacteroidia","c__Bacteroidia"
"c__Betaproteobacteria","c__Betaproteobacteria"
"c__Brachyspirae","c__Brachyspirae"
"c__Chlamydiia","c__Chlamydiia"
"c__Chloracidobacteria","c__Chloracidobacteria"
"c__Chloroplast","c__Chloroplast"
"c__Chthonomonadetes","c__Chthonomonadetes"
"c__CK-1C4-19","c__CK-1C4-19"
"c__Clostridia","c__Clostridia"
"c__Deinococci","c__Deinococci"
"c__Deltaproteobacteria","c__Deltaproteobacteria"
"c__Elusimicrobia","c__Elusimicrobia"
"c__Epsilonproteobacteria","c__Epsilonproteobacteria"
"c__Erysipelotrichi","c__Erysipelotrichi"
"c__Fimbriimonadetes","c__Fimbriimonadetes"
"c__Flavobacteriia","c__Flavobacteriia"
"c__Fusobacteria","c__Fusobacteria"
"c__Gammaproteobacteria","c__Gammaproteobacteria"
"c__Gemm-3","c__Gemm-3"
"c__Gemm-5","c__Gemm-5"
"c__Gemmatimonadetes","c__Gemmatimonadetes"
"c__Holophagae","c__Holophagae"
"c__Ignavibacteria","c__Ignavibacteria"
"c__Lentisphaeria","c__Lentisphaeria"
"c__Mollicutes","c__Mollicutes"
"c__Nitriliruptoria","c__Nitriliruptoria"
"c__OPB56","c__OPB56"
"c__Opitutae","c__Opitutae"
"c__Oscillatoriophycideae","c__Oscillatoriophycideae"
"c__Pedosphaerae","c__Pedosphaerae"
"c__Phycisphaerae","c__Phycisphaerae"
"c__Planctomycetia","c__Planctomycetia"
"c__RF3","c__RF3"
"c__Rubrobacteria","c__Rubrobacteria"
"c__S15B-MN24","c__S15B-MN24"
"c__SJA-28","c__SJA-28"
"c__Solibacteres","c__Solibacteres"
"c__Spartobacteria","c__Spartobacteria"
"c__Sphingobacteriia","c__Sphingobacteriia"
"c__Spirochaetes","c__Spirochaetes"
"c__Sva0725","c__Sva0725"
"c__Synechococcophycideae","c__Synechococcophycideae"
"c__Synergistia","c__Synergistia"
"c__Thermoleophilia","c__Thermoleophilia"
"c__Thermomicrobia","c__Thermomicrobia"
"c__Thermotogae","c__Thermotogae"
"c__TM7-3","c__TM7-3"
"c__VC2_1_Bac22","c__VC2_1_Bac22"
"c__Verruco-5","c__Verruco-5"
"c__Verrucomicrobiae","c__Verrucomicrobiae"
"o__Acholeplasmatales","o__Acholeplasmatales"
"o__Acidimicrobiales","o__Acidimicrobiales"
"o__Acidobacteriales","o__Acidobacteriales"
"o__Actinomycetales","o__Actinomycetales"
"o__Aeromonadales","o__Aeromonadales"
"o__Alteromonadales","o__Alteromonadales"
"o__Anaerolineales","o__Anaerolineales"
"o__Anaeroplasmatales","o__Anaeroplasmatales"
"o__Aquificales","o__Aquificales"
"o__Armatimonadales","o__Armatimonadales"
"o__ASSO-13","o__ASSO-13"
"o__Bacillales","o__Bacillales"
"o__Bacteroidales","o__Bacteroidales"
"o__BD7-3","o__BD7-3"
"o__Bdellovibrionales","o__Bdellovibrionales"
"o__Bifidobacteriales","o__Bifidobacteriales"
"o__Brachyspirales","o__Brachyspirales"
"o__Burkholderiales","o__Burkholderiales"
"o__BVC71","o__BVC71"
"o__Campylobacterales","o__Campylobacterales"
"o__Cardiobacteriales","o__Cardiobacteriales"
"o__Caulobacterales","o__Caulobacterales"
"o__Cerasicoccales","o__Cerasicoccales"
"o__Chlamydiales","o__Chlamydiales"
"o__Chlorophyta","o__Chlorophyta"
"o__Chromatiales","o__Chromatiales"
"o__Chroococcales","o__Chroococcales"
"o__Chthoniobacterales","o__Chthoniobacterales"
"o__Chthonomonadales","o__Chthonomonadales"
"o__Clostridiales","o__Clostridiales"
"o__Coriobacteriales","o__Coriobacteriales"
"o__CW040","o__CW040"
"o__Deinococcales","o__Deinococcales"
"o__Desulfobacterales","o__Desulfobacterales"
"o__Desulfovibrionales","o__Desulfovibrionales"
"o__Ellin329","o__Ellin329"
"o__Ellin5290","o__Ellin5290"
"o__Ellin6067","o__Ellin6067"
"o__Elusimicrobiales","o__Elusimicrobiales"
"o__Enterobacteriales","o__Enterobacteriales"
"o__Erysipelotrichales","o__Erysipelotrichales"
"o__Exiguobacterales","o__Exiguobacterales"
"o__Fimbriimonadales","o__Fimbriimonadales"
"o__Flavobacteriales","o__Flavobacteriales"
"o__Fusobacteriales","o__Fusobacteriales"
"o__Gaiellales","o__Gaiellales"
"o__Gallionellales","o__Gallionellales"
"o__Gemellales","o__Gemellales"
"o__Gemmatales","o__Gemmatales"
"o__Gemmatimonadales","o__Gemmatimonadales"
"o__Herpetosiphonales","o__Herpetosiphonales"
"o__Holophagales","o__Holophagales"
"o__HTCC2188","o__HTCC2188"
"o__Hydrogenophilales","o__Hydrogenophilales"
"o__I025","o__I025"
"o__Ignavibacteriales","o__Ignavibacteriales"
"o__iii1-15","o__iii1-15"
"o__JG30-KF-CM45","o__JG30-KF-CM45"
"o__Lactobacillales","o__Lactobacillales"
"o__Legionellales","o__Legionellales"
"o__MBA08","o__MBA08"
"o__Methylococcales","o__Methylococcales"
"o__Methylophilales","o__Methylophilales"
"o__MIZ46","o__MIZ46"
"o__ML615J-28","o__ML615J-28"
"o__Mycoplasmatales","o__Mycoplasmatales"
"o__Myxococcales","o__Myxococcales"
"o__Neisseriales","o__Neisseriales"
"o__Nitriliruptorales","o__Nitriliruptorales"
"o__Nitrosomonadales","o__Nitrosomonadales"
"o__Oceanospirillales","o__Oceanospirillales"
"o__OPB54","o__OPB54"
"o__Opitutales","o__Opitutales"
"o__Pasteurellales","o__Pasteurellales"
"o__Pedosphaerales","o__Pedosphaerales"
"o__Pirellulales","o__Pirellulales"
"o__Procabacteriales","o__Procabacteriales"
"o__Pseudomonadales","o__Pseudomonadales"
"o__PYR10d3","o__PYR10d3"
"o__RF32","o__RF32"
"o__RF39","o__RF39"
"o__Rhizobiales","o__Rhizobiales"
"o__Rhodobacterales","o__Rhodobacterales"
"o__Rhodocyclales","o__Rhodocyclales"
"o__Rhodospirillales","o__Rhodospirillales"
"o__Rickettsiales","o__Rickettsiales"
"o__Rubrobacterales","o__Rubrobacterales"
"o__SBla14","o__SBla14"
"o__SC-I-84","o__SC-I-84"
"o__SHA-98","o__SHA-98"
"o__Solibacterales","o__Solibacterales"
"o__Solirubrobacterales","o__Solirubrobacterales"
"o__Sphaerochaetales","o__Sphaerochaetales"
"o__Sphingobacteriales","o__Sphingobacteriales"
"o__Sphingomonadales","o__Sphingomonadales"
"o__Spirobacillales","o__Spirobacillales"
"o__Spirochaetales","o__Spirochaetales"
"o__Stramenopiles","o__Stramenopiles"
"o__Streptophyta","o__Streptophyta"
"o__Sva0725","o__Sva0725"
