"","SampleID","BodySite","PersonalID","WeeksSinceStart"
"1956","G10621","gut","NAU121","5"
"1881","G10624","gut","NAU117","7"
"2184","G10625","gut","NAU132","8"
"2329","G10628","gut","NAU137","4"
"2744","G10629","gut","NAU154","5"
"1915","G10630","gut","NAU119","3"
"1957","G10631","gut","NAU121","6"
"2003","G10635","gut","NAU123","5"
"2289","G10636","gut","NAU136","4"
"1880","G10637","gut","NAU117","6"
"2510","G10638","gut","NAU147","6"
"2373","G10639","gut","NAU139","7"
"2181","G10640","gut","NAU132","4"
"2908","G10642","gut","NAU159","5"
"2092","G10643","gut","NAU129","5"
"2610","G10646","gut","NAU149","4"
"2660","G10647","gut","NAU150","4"
"2182","G10649","gut","NAU132","5"
"2611","G10650","gut","NAU149","5"
"3029","G10651","gut","NAU164","5"
"2046","G10654","gut","NAU124","5"
"1579","G10655","gut","NAU105","8"
"2612","G10656","gut","NAU149","7"
"2223","G10657","gut","NAU133","7"
"2821","G10659","gut","NAU156","5"
"1882","G10660","gut","NAU117","8"
"2784","G10661","gut","NAU155","5"
"2094","G10662","gut","NAU129","8"
"2662","G10663","gut","NAU150","7"
"1648","G10664","gut","NAU107","5"
"1803","G10665","gut","NAU114","6"
"1755","G10666","gut","NAU110","8"
"2950","G10669","gut","NAU160","8"
"2290","G10670","gut","NAU136","5"
"2949","G10671","gut","NAU160","5"
"2783","G10675","gut","NAU155","4"
"2706","G10676","gut","NAU153","4"
"2739","G10677","gut","NAU154","0"
"2372","G10680","gut","NAU139","5"
"2708","G10681","gut","NAU153","6"
"1802","G10682","gut","NAU114","5"
"2222","G10684","gut","NAU133","5"
"2331","G10685","gut","NAU137","6"
"2291","G10687","gut","NAU136","6"
"2910","G10688","gut","NAU159","8"
"2907","G10689","gut","NAU159","4"
"2286","G10690","gut","NAU136","1"
"2661","G10691","gut","NAU150","5"
"2857","G10692","gut","NAU157","5"
"2139","G10693","gut","NAU130","5"
"2045","G10694","gut","NAU124","4"
"2743","G10695","gut","NAU154","4"
"2509","G10696","gut","NAU147","5"
"1756","G10697","gut","NAU110","9"
"1649","G10698","gut","NAU107","6"
"745","G10700","gut","CUB029","0.5"
"150","G10702","gut","CUB004","1"
"711","G10703","gut","CUB028","4"
"641","G10704","gut","CUB026","2"
"1116","G10705","gut","CUB048","1"
"941","G10706","gut","CUB038","1"
"230","G10707","gut","CUB007","1"
"1314","G10709","gut","CUB053","1"
"403","G10710","gut","CUB011","1"
"480","G10713","gut","CUB015","1"
"366","G10714","gut","CUB010","1"
"1355","G10715","gut","CUB056","1"
"904","G10718","gut","CUB037","3"
"747","G10720","gut","CUB029","2"
"482","G10721","gut","CUB015","3"
"598","G10722","gut","CUB019","6"
"1022","G10725","gut","CUB042","1"
"599","G10728","gut","CUB019","7"
"67","G10730","gut","CUB000","1"
"750","G10732","gut","CUB029","6"
"323","G10733","gut","CUB009","1"
"273","G10735","gut","CUB008","1"
"438","G10737","gut","CUB012","1"
"1279","G10738","gut","CUB052","6"
"983","G10739","gut","CUB040","2"
"234","G10741","gut","CUB007","5"
"1023","G10742","gut","CUB042","2"
"815","G10744","gut","CUB033","1"
"1065","G10745","gut","CUB044","2"
"479","G10748","gut","CUB015","0"
"278","G10749","gut","CUB008","6"
"710","G10750","gut","CUB028","2"
"749","G10751","gut","CUB029","5"
"1275","G10752","gut","CUB052","2"
"780","G10753","gut","CUB032","1"
"865","G10754","gut","CUB036","3"
"675","G10755","gut","CUB027","3"
"817","G10756","gut","CUB033","3"
"274","G10759","gut","CUB008","2"
"782","G10760","gut","CUB032","3"
"553","G10761","gut","CUB017","2"
"232","G10763","gut","CUB007","3"
"864","G10764","gut","CUB036","2"
"112","G10765","gut","CUB003","3"
"68","G10766","gut","CUB000","2"
"748","G10768","gut","CUB029","3"
"1315","G10769","gut","CUB053","2"
"642","G10771","gut","CUB026","3"
"367","G10773","gut","CUB010","2"
"1117","G10774","gut","CUB048","2"
"439","G10775","gut","CUB012","2"
"903","G10776","gut","CUB037","2"
"594","G10778","gut","CUB019","2"
"151","G10779","gut","CUB004","2"
"818","G10780","gut","CUB033","4"
"442","G10783","gut","CUB012","5"
"1161","G10785","gut","CUB049","1"
"404","G10786","gut","CUB011","2"
"554","G10787","gut","CUB017","3"
"1274","G10791","gut","CUB052","1"
"942","G10793","gut","CUB038","2"
"485","G10794","gut","CUB015","6"
"111","G10795","gut","CUB003","2"
"781","G10796","gut","CUB032","2"
"324","G10797","gut","CUB009","2"
"481","G10798","gut","CUB015","2"
"275","G10799","gut","CUB008","3"
"1354","G10800","gut","CUB056","0"
"1205","G10804","gut","CUB050","0"
"900","G10806","gut","CUB037","0"
"981","G10809","gut","CUB040","0.5"
"672","G10812","gut","CUB027","0"
"65","G10813","gut","CUB000","0"
"1312","G10815","gut","CUB053","0"
"940","G10818","gut","CUB038","0.5"
"813","G10819","gut","CUB033","0"
"149","G10820","gut","CUB004","0.5"
"1159","G10822","gut","CUB049","0"
"592","G10823","gut","CUB019","0"
"779","G10825","gut","CUB032","0"
"1115","G10827","gut","CUB048","0.5"
"552","G10828","gut","CUB017","1"
"939","G10830","gut","CUB038","0"
"109","G10831","gut","CUB003","0.5"
"640","G10833","gut","CUB026","1"
"364","G10836","gut","CUB010","0"
"1272","G10838","gut","CUB052","0"
"321","G10840","gut","CUB009","0"
"861","G10841","gut","CUB036","0"
"437","G10842","gut","CUB012","0.5"
"108","G10845","gut","CUB003","0"
"271","G10846","gut","CUB008","0"
"746","G10847","gut","CUB029","1"
"1062","G10849","gut","CUB044","0"
"1020","G10850","gut","CUB042","0"
"639","G10852","gut","CUB026","0"
"272","G10853","gut","CUB008","0.5"
"744","G10856","gut","CUB029","0"
"1064","G10859","gut","CUB044","1"
"148","G10860","gut","CUB004","0"
"982","G10861","gut","CUB040","1"
"551","G10865","gut","CUB017","0"
"436","G10866","gut","CUB012","0"
"229","G10871","gut","CUB007","0.5"
"1021","G10874","gut","CUB042","0.5"
"402","G10875","gut","CUB011","0"
"708","G10877","gut","CUB028","0"
"593","G10881","gut","CUB019","1"
"322","G10883","gut","CUB009","0.5"
"66","G10884","gut","CUB000","0.5"
"673","G10885","gut","CUB027","1"
"709","G10887","gut","CUB028","1"
"863","G10888","gut","CUB036","1"
"1206","G10889","gut","CUB050","1"
"110","G10890","gut","CUB003","1"
"902","G10891","gut","CUB037","1"
"901","G10892","gut","CUB037","0.5"
"814","G10893","gut","CUB033","0.5"
"1114","G10896","gut","CUB048","0"
"862","G10897","gut","CUB036","0.5"
"1160","G10898","gut","CUB049","0.5"
"1313","G10899","gut","CUB053","0.5"
"2816","G10902","gut","NAU156","0"
"2904","G10903","gut","NAU159","1"
"2177","G10905","gut","NAU132","0"
"1998","G10906","gut","NAU123","0"
"2042","G10907","gut","NAU124","1"
"2703","G10910","gut","NAU153","1"
"2780","G10912","gut","NAU155","1"
"2779","G10913","gut","NAU155","0"
"2704","G10914","gut","NAU153","2"
"2217","G10916","gut","NAU133","0"
"2325","G10921","gut","NAU137","0"
"2505","G10922","gut","NAU147","0"
"2285","G10924","gut","NAU136","0"
"2178","G10927","gut","NAU132","1"
