"","parent","child","edgelength"
"122","f__[Weeksellaceae]","g__Chryseobacterium",1
"123","f__Clostridiaceae","g__Clostridium",1
"124","f__Comamonadaceae","g__Comamonas",1
"125","f__Lachnospiraceae","g__Coprococcus",1
"126","f__Corynebacteriaceae","g__Corynebacterium",1
"127","f__Veillonellaceae","g__Dialister",1
"128","f__Moraxellaceae","g__Enhydrobacter",1
"129","f__Enterococcaceae","g__Enterococcus",1
"130","f__Ruminococcaceae","g__Faecalibacterium",1
"131","f__Flavobacteriaceae","g__Flavobacterium",1
"132","f__Cryomorphaceae","g__Fluviicola",1
"133","f__Fusobacteriaceae","g__Fusobacterium",1
"134","f__Carnobacteriaceae","g__Granulicatella",1
"135","f__Pasteurellaceae","g__Haemophilus",1
"136","f__Lachnospiraceae","g__Lachnospira",1
"137","f__Lactobacillaceae","g__Lactobacillus",1
"138","f__Streptococcaceae","g__Lactococcus",1
"139","f__Burkholderiaceae","g__Lautropia",1
"140","f__Leptotrichiaceae","g__Leptotrichia",1
"141","f__Leuconostocaceae","g__Leuconostoc",1
"142","f__Veillonellaceae","g__Megasphaera",1
"143","f__Neisseriaceae","g__Microvirgula",1
"144","f__[Mogibacteriaceae]","g__Mogibacterium",1
"145","f__Lachnospiraceae","g__Moryella",1
"146","f__Neisseriaceae","g__Neisseria",1
"147","f__Lachnospiraceae","g__Oribacterium",1
"148","f__Ruminococcaceae","g__Oscillospira",1
"149","f__Porphyromonadaceae","g__Parabacteroides",1
"150","f__[Tissierellaceae]","g__Parvimonas",1
"151","f__[Tissierellaceae]","g__Peptoniphilus",1
"152","f__Peptostreptococcaceae","g__Peptostreptococcus",1
"153","f__Porphyromonadaceae","g__Porphyromonas",1
"154","f__Prevotellaceae","g__Prevotella",1
"155","f__Propionibacteriaceae","g__Propionibacterium",1
"156","f__Pseudomonadaceae","g__Pseudomonas",1
"157","f__Micrococcaceae","g__Rothia",1
"158","f__Burkholderiaceae","g__Salinispora",1
"159","f__Veillonellaceae","g__Selenomonas",1
"160","f__Streptococcaceae","g__Streptococcus",1
"161","f__Campylobacteraceae","g__Sulfurospirillum",1
"162","f__Alcaligenaceae","g__Sutterella",1
"163","f__Porphyromonadaceae","g__Tannerella",1
"164","f__Spirochaetaceae","g__Treponema",1
"165","f__Veillonellaceae","g__Veillonella",1
"166","f__Neisseriaceae","g__Vitreoscilla",1
"167","f__Leuconostocaceae","g__Weissella",1
"168","f__Rhodocyclaceae","g__Zoogloea",1
"169","g__Propionibacterium","s__acnes",1
"170","g__Microvirgula","s__aerodenitrificans",1
"171","g__Weissella","s__cibaria",1
"172","g__Weissella","s__confusa",1
"173","g__Prevotella","s__copri",1
"174","g__Rothia","s__dentocariosa",1
"175","g__Veillonella","s__dispar",1
"176","g__Porphyromonas","s__endodontalis",1
"177","g__Leuconostoc","s__fallax",1
"178","g__Acinetobacter","s__johnsonii",1
"179","g__Streptococcus","s__luteciae",1
"180","g__Prevotella","s__melaninogenica",1
"181","g__Bulleidia","s__moorei",1
"182","g__Rothia","s__mucilaginosa",1
"183","g__Prevotella","s__nanceiensis",1
"184","g__Prevotella","s__nigrescens",1
"185","g__Haemophilus","s__parainfluenzae",1
"186","g__Veillonella","s__parvula",1
"187","g__Faecalibacterium","s__prausnitzii",1
"188","g__Acinetobacter","s__rhizosphaerae",1
"189","g__Neisseria","s__subflava",1
"190","g__[Prevotella]","s__tannerae",1
"191","g__Bacteroides","s__uniformis",1
"192","g__Lactobacillus","s__zeae",1
"193","k__Bacteria","p__Tenericutes",1
"194","p__Tenericutes","c__Mollicutes",1
"195","c__Mollicutes","o__Mycoplasmatales",1
"196","o__Mycoplasmatales","f__Mycoplasmataceae",1
"197","f__Pasteurellaceae","g__Actinobacillus",1
"198","f__Pasteurellaceae","g__Aggregatibacter",1
"199","f__Lachnospiraceae","g__Butyrivibrio",1
"200","f__Neisseriaceae","g__Eikenella",1
"201","f__Mycoplasmataceae","g__Mycoplasma",1
"202","o__Clostridiales","f__Peptococcaceae",1
"203","o__Bacillales","f__Bacillaceae",1
"204","f__[Tissierellaceae]","g__Finegoldia",1
"205","g__[Eubacterium]","s__dolichum",1
"206","g__[Ruminococcus]","s__gnavus",1
"207","f__Peptostreptococcaceae","g__Filifactor",1
"208","g__Treponema","s__socranskii",1
"209","k__Bacteria","p__GN02",1
"210","p__GN02","c__GKS2-174",1
"211","c__Deltaproteobacteria","o__MIZ46",1
"212","g__Bacteroides","s__fragilis",1
